Date,Open,High,Low,Close,Adj Close,Volume
1968-12-01,16.687500,16.737499,15.500000,15.750000,3.931515,8513600
1969-01-01,15.750000,15.762500,14.750000,14.812500,3.697498,15188800
1969-02-01,14.812500,15.525000,14.662500,14.668750,3.661617,9505600
1969-03-01,14.668750,15.775000,14.587500,15.700000,3.929631,7593600
1969-04-01,15.700000,16.512501,15.262500,16.400000,4.104836,7721600
1969-05-01,16.400000,16.743750,15.912500,15.950000,3.992202,7235200
1969-06-01,15.950000,16.975000,15.387500,16.887501,4.237267,9937600
1969-07-01,16.887501,18.225000,15.500000,16.225000,4.071039,17296000
1969-08-01,16.299999,17.537500,16.275000,17.250000,4.328227,11720000
1969-09-01,17.250000,18.012501,16.549999,17.262501,4.344753,10350400
1969-10-01,17.262501,18.250000,17.000000,18.025000,4.536662,12192000
1969-11-01,18.000000,18.437500,17.212500,17.850000,4.492616,8328000
1969-12-01,17.924999,18.350000,17.512501,18.225000,4.599758,11555200
1970-01-01,18.225000,19.350000,16.712500,16.759375,4.229852,15148800
1970-02-01,16.850000,17.750000,16.737499,17.012501,4.293735,12294400
1970-03-01,17.012501,17.049999,15.762500,16.924999,4.271655,15971200
1970-04-01,16.924999,17.025000,14.312500,14.900000,3.760569,18692800
1970-05-01,14.900000,14.950000,11.850000,13.900000,3.508182,29678400
1970-06-01,13.900000,14.350000,12.500000,12.500000,3.167595,21307200
1970-07-01,12.500000,13.125000,12.100000,12.612500,3.196103,18169600
1970-08-01,12.593750,13.575000,10.937500,13.312500,3.389536,22201600
1970-09-01,13.262500,14.775000,12.962500,14.587500,3.714166,17121600
1970-10-01,14.587500,15.487500,14.150000,14.700000,3.742812,13166400
1970-11-01,14.700000,15.450000,14.425000,15.362500,3.927280,13985600
1970-12-01,15.362500,16.037500,15.312500,15.887500,4.061491,15844800
1971-01-01,15.837500,16.387501,15.500000,16.275000,4.160551,13894400
1971-02-01,16.275000,17.174999,16.250000,16.825001,4.301157,11152000
1971-03-01,16.825001,18.287500,16.737499,17.875000,4.587621,12256000
1971-04-01,17.875000,18.200001,17.450001,17.887501,4.590827,16568000
1971-05-01,17.750000,17.775000,16.250000,16.350000,4.196229,12846400
1971-06-01,16.375000,16.575001,15.400000,15.850000,4.082998,21155200
1971-07-01,15.850000,15.962500,14.512500,14.562500,3.751331,22408000
1971-08-01,14.637500,16.000000,14.162500,15.200000,3.915552,17017600
1971-09-01,15.200000,15.650000,14.950000,15.187500,3.930136,12812800
1971-10-01,15.212500,15.762500,14.775000,15.025000,3.888084,14761600
1971-11-01,15.000000,15.325000,14.412500,15.275000,3.952777,13342400
1971-12-01,15.325000,17.424999,15.325000,16.825001,4.372813,17424000
1972-01-01,16.825001,18.600000,16.587500,18.400000,4.782150,18987200
1972-02-01,18.400000,18.750000,18.225000,18.424999,4.788653,9993600
1972-03-01,18.475000,19.299999,18.299999,19.112499,4.985352,13555200
1972-04-01,19.112499,19.987499,18.962500,19.299999,5.034260,11294400
1972-05-01,19.299999,20.299999,18.837500,19.887501,5.187506,13296000
1972-06-01,19.950001,20.049999,19.350000,19.600000,5.130789,9315200
1972-07-01,19.650000,20.275000,19.174999,20.037500,5.245314,11385600
